序号,工程名称,建设单位,工程属地,项目地点,建筑面积（㎡）
1,嘉善拳王置业有限公司拳王水街项目,嘉善拳王置业有限公司,大云镇,大云镇缪家村干经港东侧,34172.28
2,嘉善大云旅游实业有限公司大云镇安置小区建设用房二期项目,嘉善大云旅游实业有限公司,大云镇,大云镇溪北路西侧,92477.69
3,嘉善云智实业有限公司5G智能智造产业基地一期A区项目,嘉善云智实业有限公司,大云镇,大云镇康兴工业园,5792.19
4,浙江明源电力科技股份有限公司1#车间,浙江明源电力科技股份有限公司,大云镇,大云镇工业园区,7811.9
5,嘉善大云镇旅游投资管理有限公司嘉善巧克力甜蜜小镇殷家桥码头公园项目,嘉善大云镇旅游投资管理有限公司,大云镇,大云镇缪家村殷家桥港北侧,717.05
6,嘉兴乐豪绢丝绸科技有限公司1#车间、门卫,嘉兴乐豪绢丝绸科技有限公司,大云镇,大云镇云寺西路211号,19386.71
7,嘉善云智实业有限公司新建厂房A、新建厂房B,嘉善云智实业有限公司,大云镇,大云镇缪家村,28636.23
8,华夏幸福（嘉善）文化影视产业园投资有限公司嘉善影视中心（北区）,华夏幸福（嘉善）文化影视产业园投资有限公司,大云镇,大云镇江家村，规划经十三路东侧,34012.46
9,嘉善县大云镇缪家村股份经济合作社甜蜜小镇党群服务中心（一期）,嘉善县大云镇缪家村股份经济合作社,大云镇,大云镇缪家村,772.18
10,歌斐颂食品有限公司3#车间,歌斐颂食品有限公司,大云镇,大云镇巧克力大道8号,6834.93
11,嘉善鑫耀房地产开发有限公司星辰苑,嘉善鑫耀房地产开发有限公司,大云镇,大云镇江家村、钱泾港东侧、双云路南侧,89996.49
12,嘉善华盛塑料管厂3#车间,嘉善华盛塑料管厂,大云镇,嘉善县大云镇杜鹃路3号,4002.49
13,嘉善县大地污水处理工程有限公司大云镇污水管道改造工程,嘉善县大地污水处理工程有限公司,大云镇,嘉善县大云镇,0
14,浙江百康光学股份有限公司1#车间、2#车间、门卫、配电房,浙江百康光学股份有限公司,大云镇,大云镇云寺西路258号,40038.59
15,嘉善大云旅游实业有限公司嘉善大云幼儿园前道路工程,嘉善大云旅游实业有限公司,大云镇,大云镇,0
16,嘉善县资产经营有限公司长三角（嘉善）金融创新中心大型金融机构、国际金融中心、商务酒店、商务办公地下室,嘉善县资产经营有限公司,大云镇,大云镇杨桥村、嘉善大道、纬二路南侧,387932.53
17,嘉善誉鸿房地产开发有限责任公司干窑镇2018-23号地块住宅项目合同一段配套1#楼、1#-5#楼,嘉善誉鸿房地产开发有限责任公司,干窑镇,干窑镇亭子桥港南侧、镇北路东延伸段北侧,54322.45
18,浙江派沃克工具股份有限公司1#车间、2#车间、3#研发车间、门卫,浙江派沃克工具股份有限公司,干窑镇,干窑镇工业园区,32840.3
19,嘉善万洋众创城开发股份有限公司嘉善万洋机器人众创城C01-C02#楼、,嘉善万洋众创城开发股份有限公司,干窑镇,干窑镇工业园区,12977.36
20,浙江万正电子科技有限公司生产车间、食堂及宿舍、研发车间、甲类仓库、丁类仓库、门卫,浙江万正电子科技有限公司,干窑镇,干窑镇工业园区,38012.96
21,浙江丰源工具有限公司扩建工程4#车间,浙江丰源工具有限公司,干窑镇,干窑镇亭耀东路,7646.71
22,嘉善万洋众创城开发股份有限公司嘉善万洋机器人众创城A01-A02#楼、A07-A12#楼,嘉善万洋众创城开发股份有限公司,干窑镇,嘉善干窑镇黎明村,152196.95
23,嘉善万洋机器人众创城项目一期三标段,嘉善万洋众创城开发股份有限公司,干窑镇,嘉善干窑镇黎明村,128845.81
24,嘉兴五洲轴承科技有限公司生产车间,嘉兴五洲轴承科技有限公司,干窑镇,干窑镇宏伟北路12号,9796.65
25,嘉善县干窑镇南宙村股份经济合作社干窑镇南宙村文化礼堂,嘉善县干窑镇南宙村股份经济合作社,干窑镇,干窑镇南宙村,2185.62
