序号,项目名称,项目类型,项目地点,建安量（万元）,建筑面积（平方米）,所属街镇,未挂上
1,御品园林（C地块）,住宅,徐泾镇徐南路1188弄,19978.1503,46917.45,徐泾镇,
2,青浦区盈浦街道观云路南侧25-04地块,住宅,青浦区盈浦街道东至西大盈港，西至南蒋墩港，南至三分荡路，北至观云路,7527.64,36316,盈浦街道,
4,青浦区盈浦街道淀恵路北侧37-02地块普通商品房项目,住宅,青浦区盈浦街道淀恵路北侧37-02地块,21513.67,90599,盈浦街道,
6,新建厂房,工业,青浦区白鹤镇,4727,18946,白鹤镇,
8,青浦区盈浦派出所迁建工程,公共,青浦新城42-02地块南侧,6469,12990,盈浦街道,
10,改扩建厂房,工业,练塘镇章练塘路418号,1900,9086,练塘镇,
12,朱家角康欧路西侧地块（二期）,公共,朱家角康欧路西侧,33193,78065,朱家角镇,
13,新建厂房,工业,朱家角康业路601号,2613,7033,朱家角镇,
14,山周公路（G318-鹤星公路）新建工程3标段,市政 ,青浦区G318国道至嘉定鹤星公路,13958.3,0,重固镇,
15,崧泽高架西延伸工程1标,市政,青浦区西起漕盈路，东至G15立交以东收费站,142999.1519,0,赵巷镇,
16,复旦大学附属中山医院青浦分院二期装修工程,装饰,青浦区公园东路1158号,15398.0176,0,夏阳街道,
17,崧泽高架西延伸工程2标段（K1-K7),市政,青浦区西起漕盈路，东至G15立交以东收费站,141700.3555,0,香花桥街道,
18,崧泽高架西延伸工程3标（K13-K19),市政,青浦区西起漕盈路，东至G15立交以东收费站,180385.8689,0,徐泾镇,
19,徐南路07-02D地块商办项目（主体工程）,公建,上海市青浦区规划用地，西至规划绿地，南至07-02C地块，北至高光路,15147.2028,35554.25,徐泾镇,
20,徐南路07-02C地块商办项目（主体工程）,公建,上海市青浦区基地东至07-02B地块，西至规划绿地，南至方家塘路，北至07-02D地块,14586.8271,33170.82,徐泾镇,
21,徐南路07-02B地块商办项目（主体工程）,公建,上海市青浦区基地东至诸光路，西至规划用地，南至方家塘路，北至07-02A地块,13464.4798,31766.41,徐泾镇,
22,徐南路07-02A地块商办项目（主体工程）,公建,上海市青浦区基地东至诸光路，西至07-02D地块，南至07-02B地块，北至高光路,12903.6811,29732.96,徐泾镇,
23,青浦西虹桥商务区能源管道建设项目,市政,青浦 区(县) 青浦新城内轨交17号线青浦站北侧地块,15117.39,0,徐泾镇,
26,外青松公路（白石公路-江苏省界）道路新改建工程1标（白石公路~鹤翔路）段,市政,青浦 区(县) 青浦区白鹤镇，南起白石公路，北至江苏省界,11751,0,香花桥、白鹤,
28, 青浦区港周路（新塘港路-斜沥路）新改建工程-一标段 ,市政,青浦区港周路（新塘港路-斜沥路） ,15395.89,0,朱家角镇,
29,漕河泾开发区赵巷园区一期项目(二)-A3-04地块工程 ,公建,青浦区赵巷镇东至嘉松中路，南至盈港东路，西至诸家浜，北至佳杰路 ,102718.88,182583,赵巷镇,
30, 漕河泾开发区赵巷园区二期（二）项目-C05-03地块工程  ,公建, 青浦区赵巷镇东至嘉松中路，南至镇中路，西至佳迪路，北至佳采路至盈港东路 ,78239.96,132027,赵巷镇,
31,徐泾镇蟠龙“城中村”地块改造项目经一路纬二路工程 ,市政, 青浦区徐泾镇蟠龙古镇内  ,1734.75,0,徐泾镇,
32, 青浦区岑卜路（规划二路-规划一路）新建工程 ,市政,青浦区金泽镇西岑单元（JZ03），项目范围：东至规划一路、西至规划二路,17450.01,0,金泽镇,
33, 青浦区华新镇新凤路东侧25-01地块建造普通商品房项目 ,住宅,上海市青浦区基地东至顾巷村路西至新凤中路南至华志路北至华硕路 ,50349.15,102043,华新镇,
34, 漕河泾开发区赵巷园区二期（一）项目-A6-03地块工程 ,公建, 青浦区赵巷镇东至嘉松中路，南至大田泾，西至大田泾，北至盈港东路  ,100616.05,150905,赵巷镇,
35,华新派出所迁建工程 ,公建,青浦区华新镇34-15地块,5278.2,10897,华新镇,
36, 青浦区华新镇新府中路东侧27-01地块  ,住宅, 朱家角绿湖路318号，位于民航上海区域管制中心一期规划工作园区  ,99000,81261,华新镇,
37, 青浦区赵巷镇沪青平公路南侧F1-01、F1-05地块  ,工业,上海市青浦区北至沪青平公路、南至规划三路、东至佳迪路、西至佳驰路 ,52270.37,125384,赵巷镇,
38,金泽镇规划四路（规划二路-练西公路）新建工程 ,市政, 青浦区金泽镇西岑单元（JZ03）华为安置基地内规划四路  ,2065.56,0,金泽镇,
40, 青浦区盈浦街道观云路南侧23-01地块,住宅,上海市青浦区基地东至黄泥娄路西至青泰路南至三分荡路北至观云路 ,33000,27163,盈浦街道,
41,青浦区外青松公路（白石公路-江苏省界）新改建工程2标（鹤祥路~安鹤路）段,公路, 青浦 区(县) 青浦区白鹤镇，南起白石公路，北至江苏省界 ,107744.22,0,白鹤镇,
42, 漕平路淀浦河桥新建及朱家角漕平路自来水厂改造工程（市政道路部分） ,市政,青浦区朱家角古镇保护区西侧漕平路。南至漕平支路、北至珠湖路 ,4736.09,0,朱家角镇,
43, 金臣颐墅东区4（原御宫艺墅） ,住宅, 上海市青浦区  ,8838.15,20484,赵巷镇,
44, 金臣颐墅东区3（原御宫艺墅） ,住宅,青浦区赵巷镇，东至金臣颐墅东一项目，南至金臣颐墅东四项目，西至金臣颐墅西区项目，北至业辉路,31718.67,73483,赵巷镇,
45,朱家角华为人才公寓规划一路、规划二路新建工程 ,市政, 青浦区朱家角镇复兴路以西22、23、24、25街坊内。东至复兴路、西至绿湖路、南至沪青平公路、北至规划一路  ,13399.53,0,朱家角镇,
46,青浦区外青松公路（白石公路-江苏省界）新改建工程3标（吴淞江大桥）段,市政, 青浦 区(县) 青浦区白鹤镇，南起白石公路，北至江苏省界 ,25795,0,白鹤镇,
47,青浦区朱家角镇淀山湖大道北侧I07-01地块项目,商业,青浦区朱家角镇淀山湖大道北侧I07-01地块,0,29631.99,朱家角镇,
48,新建厂房,工业,上海市青浦区基地东至规划经六路西至B-07-08地块南至规划纬五路北至上海宏刚实业有限公司,4300,15901.78,朱家角镇,
49,复旦大学附属中山医院青浦分院二期改扩建工程,装饰,公园东路1158号,7088.8702,5124,夏阳街道,
50,青浦区夏阳街道综合为老服务中心和残疾人活动中心新建工程,公建,青浦新城中一单元19-24地块，四至范围：东至华青南路、西至养老院、南至青浦电视台、北至定浦河道,5107.8786,7719,夏阳街道,
51,扩建厂房,工业,上海市青浦区基地东至华青路西至朝阳河南至天瑞路北至天辰路,973.8427,4708,香花桥街道,
52,御宫艺墅新建项目（东区北）,住宅,青浦区赵巷镇特色居住区56/1丘地块,15336.2233,35532.95,赵巷镇,
53,御宫艺墅新建项目(东区南）,住宅,上海市青浦区,5544.8555,12847.04,赵巷镇,
54,青浦区西虹桥联涞路09-15地块普通商品房项目 ,住宅, 上海市青浦区东至小涞港，西至规划地块、南至联涞路、北至苗泾港  ,25000,126070,徐泾镇,
55,斯伦贝谢青浦产品中心项目三期工程 ,工业, 上海市青浦区北青公路8228号4区68号。四至：东至中心路西至西环路南至横二路北至横三路  ,9059,21508,香花桥街道,
56, 盈浦街道城中村改造俞家埭1、2、3组地块养老院及商业项目新建工程  ,公建, 盈浦街道城中村改造俞家埭1、2、3组  ,26278.54,50356,盈浦街道,
57, 上海宙邦实业有限公司改扩建厂房二期  ,工业, 上海市青浦区基地东至上海创始实业有限公司西至上海原宏幕墙有限公司南至章练塘路北至河道  ,1926,9883,练塘镇,
58, 优刻得青浦数据中心项目  ,公建, 上海市青浦区青浦区青浦工业园区青赵公路和北盈路交叉口东南角  ,16996.33,54380,香花桥街道,
59,青浦区朱家角镇周家港东路中修工程 ,市政,青浦区朱家角镇周家港东路，项目范围：西至朱枫公路东侧、北至沪青平公路南侧 ,943.98,0,朱家角镇,
61, 青浦区夏阳街道盈港东路北侧14A-06、14B-04地块（14A-06地块）  ,住宅, 青浦区夏阳街道（四至范围：东至：华浦路西至：汤家浜南至：盈港路北至：水渡浜）  ,36007.74,43721,夏阳街道,
62,创荣路（胜利路-盈顺路）道路桥梁新建工程 ,市政, 青浦工业园区，东至胜利路，西至盈顺路。 ,1397.25,0,香花桥街道,
63, 青浦区华南路（芦蔡北路-嘉松中路）改建工程  ,市政,青浦区华新镇华南路 ,3882.33,0,华新镇,
64, 青浦区新协路（华志路-纪鹤路）改建工程  ,市政, 青浦区华新镇新协路  ,7163.11,0,华新镇,
65, 青浦区华新枢纽新建工程  ,公建, 青浦区纪鹤公路与芦蔡北路交叉口北侧  ,3195.11,2629,华新镇,
66, 联东U谷青浦国际企业港  ,公建,上海市青浦区胜利路1680号 ,25000,51898,香花桥街道,
67, 青浦区长楼村路（章练塘路-蒸淀路）新建工程  ,市政,青浦区练塘镇长楼村路 ,1065.96,0,练塘镇,
68,青浦区青昆路（沪青平公路-G50以南）改建工程 ,市政, 青浦区青昆路，北起沪青平公路，南至G50以南。 ,7258.58,0,夏阳街道,
69,赵巷商业商务区佳采路(佳悦路-佳凯路)新建工程 ,市政, 青浦区赵巷商业商务区C4地块，项目东至佳凯路、西至佳悦路  ,915.21,0,赵巷镇,
70,朱家角镇康欧路西侧地块（一期）改扩建,公建,上海市青浦区朱家角镇康欧路西侧 ,8747.56,18691,朱家角镇,
71,青浦区清河湾路西大盈港桥新建工程 ,市政,青浦区工业园区清河湾路 ,8288.88,0,香花桥街道,
72, 青浦区华腾路（芦蔡北路-嘉松中路）改建工程  ,市政, 青浦区华新镇华腾路  ,6897.68,0,华新镇,
73, 青浦区赵巷商业商务区佳康路（佳悦路-佳凯路）新建工程  ,市政,青浦区赵巷商业商务区C4地块，项目东至佳凯路、西至佳悦路 ,2018.25,0,赵巷镇,
74,赵巷镇佳恒路（佳驰路-嘉松中路）新建工程 ,市政, 青浦区赵巷镇佳恒路（佳驰路-嘉松中路）  ,1896.3,0,赵巷镇,
75,赵巷商业商务区佳凯路（盈港路—佳康路）新建工程 ,市政,青浦区赵巷商业商务区C4地块，项目南至佳康路、北至盈港东路 ,4054.82,0,赵巷镇,
76, 赵巷镇新建佳驰路（佳恒路-佳采路）工程  ,市政, 青浦区赵巷镇商业商务区，南至佳采路，北至佳恒路  ,4072.6,0,赵巷镇,
77, 青浦区重固镇郏店路（赵重公路-崧建路）新建工程  ,市政, 青浦区重固镇郏店路  ,3973.38,0,重固镇,
78, 青浦区重固镇重固镇大街（重联路-庙泾港桥）工程  ,市政, 青浦区重固镇重固镇大街 ,292.14,0,重固镇,
79, 青浦区重固镇毛家角路（赵重公路-崧建路）新建工程  ,市政, 青浦区重固镇毛家角路  ,4957.25,0,重固镇,
80,青浦区蒋家巷路（华腾路~新谊河路）新建工程 ,市政, 青浦区华新镇，南起新谊河路，北至华腾路 ,652.01,0,华新镇,
81, 青浦区新府路（华重路-崧泽大道）新建工程  ,市政,青浦区华新镇、徐泾镇 ,33889.64,0,华新、徐泾,
82,青浦区华徐公路（崧泽大道-天山西路）道路改建工程 ,市政, 青浦区华徐公路  ,986.51,0,徐泾镇,
83,蟠和路（徐民路-盈港东路）新建道路工程二标段（徐民东路~盈港东路）,市政,青浦区西虹桥商务区蟠和路,2081.32,0,徐泾镇,
84, 会鼎路(华徐公路——诸光路)新建工程——蟠龙路到蟠和路段新建道路工程 ,市政,青浦区位于西虹桥商务区内，徐泾镇会鼎路 ,606.42,0,徐泾镇,
85,青浦区重固镇福定路（南段）工程 ,市政, 青浦区重固镇福定路 ,691.43,0,徐泾镇,
86, 朱家角淀北路（黄家埭路-阁游路）、淀北路东侧规划道路（朱家角路-阁游路）新建工程 ,市政,青浦区朱家角新镇区QPC1-0002单元,4020.61,0,朱家角镇,
87,青浦区重固36班九年一贯制学校新建工程,公建, 青浦区重固镇。东至规划道路、西至重艾路、南至芦花浜路、北至规划地块,13297.76,21426,重固镇,
88,青浦区重固镇河泾港路（赵重公路-福滨路）新建工程 ,市政, 青浦区重固镇河泾港路 ,833.2,0,重固镇,
89,青浦区崧泽大道（华徐公路-蟠龙路）辅道改建工程 ,市政, 青浦区崧泽大道（华徐公路-蟠龙路）  ,569.38,0,徐泾镇,
90, 上海雨润肉食品有限公司厂房改扩建二期项目  ,工业, 上海市青浦区白鹤镇江南村（90/6丘）  ,63500,211634,白鹤镇,
91, 银杏酮酯、人工麝香产业创新升级示范项目质检楼内装修工程  ,特殊装修,青浦区华青路1991号 ,844.44,0,香花桥街道,
92, 华为上海青浦研发生产项目桩基工程（G组团） ,公建, 青浦区金泽镇（四至范围： 东至：石塘港 西至：规划一路 南至：规划三路 北至：岑卜路）  ,9728.5,396899,金泽镇,
93, 青浦区规划二路（岑卜路-荡田路）新建工程  ,市政, 青浦区金泽镇西岑单元（JZ03）地块规划二路  ,940.68,0,金泽镇,
94, 青浦区规划五路（岑卜路-规划四路）新建工程 ,市政, 青浦区金泽镇西岑单元（JZ03）地块，南至规划四路，北至岑卜路  ,479.79,0,金泽镇,
95, 青浦区优刻得地块配套规划道路（青赵公路-新厍路）新建工程  ,市政, 青浦区工业园区内。东至新厍路，西至青赵路，南至百隆公司、北至大田 ,901.68,0,香花桥街道,
