序号,项目名称,项目地点1,项目地点,造价,建设内容,未挂上
1,"年产超导电缆100公里（6千伏及以上（陆上用）干法交联电力电缆制造项目除外）、超导磁体50台-生产车间2,生产车间3,研发车间,门卫2",吴江经济技术开发区大兢路518号,苏州市吴江经济技术开发区大兢路518号,5850.04,房屋建筑,
2,年产环保包装纸制品7500万平方米（一期建设工程（包含：2#厂房、配电房、门卫一、门卫二））,吴江经济技术开发区同津大道东侧、云龙东路北侧,苏州市吴江经济技术开发区同津大道东侧、云龙东路北侧,8100,房屋建筑,
3,年产塑料制品600吨及光学扩散板2万吨项目,经济技术开发区长港路南横桥路西侧,苏州市经济技术开发区长港路南横桥路西侧,9510.41,房屋建筑,
4,年包装商品4000万件-年包装商品4000万件,吴江经济技术开发区同津大道1688号,苏州市吴江经济技术开发区同津大道1688号,20100,房屋建筑,
5,内部装修,苏州市吴江区同里镇云梨路528号,苏州市苏州市吴江区同里镇云梨路528号,500,装饰装修,
6,内部装修-苏州朗信智能科技有限公司内部装修,江苏省苏州市吴江经济技术开发区光明路1868号E栋北侧,苏州市江苏省苏州市吴江经济技术开发区光明路1868号E栋北侧,85,装饰装修,
7,内部装修,吴江经济技术开发区叶锦路8号,苏州市吴江经济技术开发区叶锦路8号,30,装饰装修,
8,苏州京东方医院扩建工程,江苏省苏州市吴江区庞东路600号,苏州市江苏省苏州市吴江区庞东路600号,2457.3,房屋建筑,
9,扩建厂房,苏州市吴江区同里镇同肖西路1999号,苏州市苏州市吴江区同里镇同肖西路1999号,223,房屋建筑,
10,内部装修-内部装修,吴江经济技术开发区庞金路1801号庞金工业坊,苏州市吴江经济技术开发区庞金路1801号庞金工业坊,682.06,装饰装修,
11,内部装修,江苏省吴江经济开发区庞金路808号,苏州市江苏省吴江经济开发区庞金路808号,458.2,装饰装修,
12,内部装修,吴江经济技术开发庞北路东侧,苏州市吴江经济技术开发庞北路东侧,1598.86,装饰装修,
14,吴江开发区（同里镇）庞东路东侧栅桥路南侧地块项目（WJ-J-2020-019）二期,吴江开发区庞东路东侧栅桥路南侧,苏州市吴江开发区庞东路东侧栅桥路南侧,65204.03,房屋建筑,
15,"年产铜箔2.2万吨-车间一,车间二,取水泵房,门卫",江苏省苏州市吴江区震泽镇朱家浜村,苏州市江苏省苏州市吴江区震泽镇朱家浜村,2508.68,房屋建筑,
16,"改建厂房40000平方米-生产车间一,生产车间四",吴江经济开发区（同里镇）屯村合心村,苏州市吴江经济开发区（同里镇）屯村合心村,2420,房屋建筑,
17,年产给排水成套设备200套项目-车间一,吴江区同里镇上元街富士路,苏州市吴江区同里镇上元街富士路,630,房屋建筑,
18,新建厂房和辅房100000平方米（2#厂房、3#厂房）,震泽镇双阳村民营开发区318国道南侧,苏州市震泽镇双阳村民营开发区318国道南侧,5023.01,房屋建筑,
19,公司整体搬迁改造项目三标段,大兢路与同津大道交叉口东南侧地块,苏州市大兢路与同津大道交叉口东南侧地块,217.01,房屋建筑,
